Date,Close
9/3/2019 16:00:00,41.04
9/4/2019 16:00:00,42.19
9/5/2019 16:00:00,44.94
9/6/2019 16:00:00,44.66
9/9/2019 16:00:00,45.13
9/10/2019 16:00:00,45.8
9/11/2019 16:00:00,46.08
9/12/2019 16:00:00,46.07
9/13/2019 16:00:00,45.49
9/16/2019 16:00:00,45.05
9/17/2019 16:00:00,45.27
9/18/2019 16:00:00,45
9/19/2019 16:00:00,44.24
9/20/2019 16:00:00,43.17
9/23/2019 16:00:00,43.71
9/24/2019 16:00:00,43.13
9/25/2019 16:00:00,44.56
9/26/2019 16:00:00,44.34
9/27/2019 16:00:00,42.94
9/30/2019 16:00:00,43.52
10/1/2019 16:00:00,43.5
10/2/2019 16:00:00,43.26
10/3/2019 16:00:00,45.33
10/4/2019 16:00:00,45.49
10/7/2019 16:00:00,46.08
10/8/2019 16:00:00,44.31
10/9/2019 16:00:00,45.18
10/10/2019 16:00:00,45.76
10/11/2019 16:00:00,46.5
10/14/2019 16:00:00,46.63
10/15/2019 16:00:00,49.09
10/16/2019 16:00:00,48.55
10/17/2019 16:00:00,48.57
10/18/2019 16:00:00,47.62
10/21/2019 16:00:00,49
10/22/2019 16:00:00,48.9
10/23/2019 16:00:00,48.77
10/24/2019 16:00:00,49.22
10/25/2019 16:00:00,51.14
10/28/2019 16:00:00,51.7
10/29/2019 16:00:00,50.73
10/30/2019 16:00:00,50.75
10/31/2019 16:00:00,50.26
11/1/2019 16:00:00,50.65
11/4/2019 16:00:00,52.63
11/5/2019 16:00:00,52.4
11/6/2019 16:00:00,51.91
11/7/2019 16:00:00,52.09
11/8/2019 16:00:00,51.95
11/11/2019 16:00:00,52.05
11/12/2019 16:00:00,52.4
11/13/2019 16:00:00,52.14
11/14/2019 16:00:00,52.45
11/15/2019 16:00:00,51.05
11/18/2019 16:00:00,53.07
11/19/2019 16:00:00,52
11/20/2019 16:00:00,52.8
11/21/2019 16:00:00,52.55
11/22/2019 16:00:00,52.72
11/25/2019 16:00:00,55.3
11/26/2019 16:00:00,54.25
11/27/2019 16:00:00,54.56
11/29/2019 13:00:00,54.19
12/2/2019 16:00:00,52.31
12/3/2019 16:00:00,51.92
12/4/2019 16:00:00,52.36
12/5/2019 16:00:00,52.19
12/6/2019 16:00:00,53.04
12/9/2019 16:00:00,53.04
12/10/2019 16:00:00,53.5
12/11/2019 16:00:00,54.34
12/12/2019 16:00:00,56.02
12/13/2019 16:00:00,56
12/16/2019 16:00:00,56.29
12/17/2019 16:00:00,57.07
12/18/2019 16:00:00,57.38
12/19/2019 16:00:00,58.87
12/20/2019 16:00:00,59.84
12/23/2019 16:00:00,59.71
12/24/2019 13:00:00,59.66
12/26/2019 16:00:00,59.8
12/27/2019 16:00:00,59.22
12/30/2019 16:00:00,58.08
12/31/2019 16:00:00,58.83
1/2/2020 16:00:00,59.98
1/3/2020 16:00:00,59.02
1/6/2020 16:00:00,59.27
1/7/2020 16:00:00,59.98
1/8/2020 16:00:00,60.1
1/9/2020 16:00:00,60.76
1/10/2020 16:00:00,61.08
1/13/2020 16:00:00,63
1/14/2020 16:00:00,61.82
1/15/2020 16:00:00,61.39
1/16/2020 16:00:00,62.23
1/17/2020 16:00:00,62.32
1/21/2020 16:00:00,61.99
1/22/2020 16:00:00,62.51
1/23/2020 16:00:00,63.22
1/24/2020 16:00:00,62.62
1/27/2020 16:00:00,60.05
1/28/2020 16:00:00,61.99
1/29/2020 16:00:00,61.39
1/30/2020 16:00:00,61.45
1/31/2020 16:00:00,59.11
2/3/2020 16:00:00,60.08
2/4/2020 16:00:00,61.78
2/5/2020 16:00:00,62.69
2/6/2020 16:00:00,63.56
2/7/2020 16:00:00,62.9
2/10/2020 16:00:00,65.74
2/11/2020 16:00:00,66.97
2/12/2020 16:00:00,68.14
2/13/2020 16:00:00,67.69
2/14/2020 16:00:00,72.45
2/18/2020 16:00:00,74.14
2/19/2020 16:00:00,78.68
2/20/2020 16:00:00,77.18
2/21/2020 16:00:00,73.52
2/24/2020 16:00:00,68.32
2/25/2020 16:00:00,65.51
2/26/2020 16:00:00,66.91
2/27/2020 16:00:00,63.15
2/28/2020 16:00:00,67.52
3/2/2020 16:00:00,69.11
3/3/2020 16:00:00,66.47
3/4/2020 16:00:00,71.13
3/5/2020 16:00:00,68.32
3/6/2020 16:00:00,66.51
3/9/2020 16:00:00,61.36
3/10/2020 16:00:00,65.27
3/11/2020 16:00:00,61.62
3/12/2020 16:00:00,54.08
3/13/2020 16:00:00,60.21
3/16/2020 16:00:00,49.1
3/17/2020 16:00:00,54.32
3/18/2020 16:00:00,50.71
3/19/2020 16:00:00,53.24
3/20/2020 16:00:00,51.44
3/23/2020 16:00:00,53.17
3/24/2020 16:00:00,62.3
3/25/2020 16:00:00,61.41
3/26/2020 16:00:00,64.31
3/27/2020 16:00:00,63.18
3/30/2020 16:00:00,66.4
3/31/2020 16:00:00,65.9
